line,bus_id,time,round_time,duration,status
125,21032165,2022-06-01 09:05:01,2022-06-01 09:05:00,90,d
125,21032165,2022-06-01 09:06:31,2022-06-01 09:07:00,4863,other
125,21032165,2022-06-01 10:27:34,2022-06-01 10:28:00,1197,d
125,21032165,2022-06-01 10:47:31,2022-06-01 10:48:00,4019,other
125,21032165,2022-06-01 11:54:30,2022-06-01 11:54:00,3030,o
125,21032165,2022-06-01 12:45:00,2022-06-01 12:45:00,3871,other
125,21032165,2022-06-01 13:49:31,2022-06-01 13:50:00,162,d
125,21032165,2022-06-01 13:52:13,2022-06-01 13:52:00,4485,other
125,21032165,2022-06-01 15:06:58,2022-06-01 15:07:00,5858,o
125,21032165,2022-06-01 16:44:36,2022-06-01 16:45:00,5200,other
125,21032165,2022-06-01 18:11:16,2022-06-01 18:11:00,379,d
125,21032165,2022-06-01 18:17:35,2022-06-01 18:18:00,5656,other
125,21032165,2022-06-01 19:51:51,2022-06-01 19:52:00,2566,o
125,21032165,2022-06-01 20:34:37,2022-06-01 20:35:00,4218,other
125,21032165,2022-06-01 21:44:55,2022-06-01 21:45:00,1016,d
125,21032165,2022-06-01 22:01:51,2022-06-01 22:02:00,3765,other
125,21032172,2022-06-01 07:04:21,2022-06-01 07:04:00,1172,d
125,21032172,2022-06-01 07:23:53,2022-06-01 07:24:00,4388,other
125,21032172,2022-06-01 08:37:01,2022-06-01 08:37:00,2701,o
125,21032172,2022-06-01 09:22:02,2022-06-01 09:22:00,4465,other
125,21032172,2022-06-01 10:36:27,2022-06-01 10:36:00,91,d
125,21032172,2022-06-01 10:37:58,2022-06-01 10:38:00,3968,other
125,21032172,2022-06-01 11:44:06,2022-06-01 11:44:00,10901,o
125,21032172,2022-06-01 14:45:47,2022-06-01 14:46:00,3772,other
125,21032172,2022-06-01 15:48:39,2022-06-01 15:49:00,1313,d
125,21032172,2022-06-01 16:10:32,2022-06-01 16:11:00,4969,other
125,21032172,2022-06-01 17:33:21,2022-06-01 17:33:00,2380,o
125,21032172,2022-06-01 18:13:01,2022-06-01 18:13:00,3939,other
125,21032172,2022-06-01 19:18:40,2022-06-01 19:19:00,1841,d
125,21032172,2022-06-01 19:49:21,2022-06-01 19:49:00,4160,other
125,21032172,2022-06-01 20:58:41,2022-06-01 20:59:00,3082,o
125,21032199,2022-06-01 06:56:22,2022-06-01 06:56:00,964,d
125,21032199,2022-06-01 07:12:26,2022-06-01 07:12:00,3886,other
125,21032199,2022-06-01 08:17:12,2022-06-01 08:17:00,3200,o
125,21032199,2022-06-01 09:10:32,2022-06-01 09:11:00,4295,other
125,21032199,2022-06-01 10:22:07,2022-06-01 10:22:00,121,d
125,21032199,2022-06-01 10:24:08,2022-06-01 10:24:00,4154,other
125,21032199,2022-06-01 11:33:22,2022-06-01 11:33:00,9826,o
